ID Product,Product Name,Category,Gross Price,% Margin,Selling Price
PR66,CipherForge Nexus,Communication Protection,69,15,79
PR90,InfoShield Horizon,Cloud Computing and Data Security,427,30,555
PR63,Analytix Pro Plus,Communication Protection,389,15,447
PR61,SyncSphere Master,Information Sync and Management,496,5,520
PR53,,Data Security,217,40,303
PR3,QuantumLink Horizon,Cloud Computing and Data Security,205,45,297
PR98,QuantumSphere Fusion,Cloud Computing and Data Security,108,15,124
PR96,,Communication Protection,424,5,445
PR26,InfoSync Dynamics,Cloud Computing and Data Security,178,25,222
PR50,Quantum Insight,Information Sync and Management,344,45,498
PR57,InfoVault Nexus,Information Sync and Management,123,35,166
,,,,,
PR27,Analytica Suite,Cloud Computing and Data Security,172,20,206
PR75,InfoSphere Fusion,Cloud Computing and Data Security,180,35,243
PR1,DataHarbor Nexus,Communication Protection,257,5,269
PR39,ByteGuard Sentinel,Data Security,287,5,301
PR44,DataGuard Pro,,57,15,65
PR48,InfoPulse Pro,Data Security,236,25,
PR15,CipherPulse Proxima,Communication Protection,53,20,63
PR83,InfoSync Elite,Information Sync and Management,94,45,136
PR13,DataForge Nexus,Communication Protection,172,45,249
PR77,CloudForge Nexus,Cloud Computing and Data Security,308,15,354
,,,,,
PR58,InfoMatrix Fusion,Cloud Computing and Data Security,272,15,312
PR70,CloudMatrix Elite,Communication Protection,431,35,
PR60,SyncMatrix Prime,Information Sync and Management,119,15,136
PR24,CloudGuardian Pro,Analytics and Statistics,69,5,72
